Наименование КП	X	Y
КП1	0,86	11190,2
КП2	19450,29	5628,41
КП3	25377,75	10275,09
КП4	38478,03	51463,45
КП5	16169,2	56207,83
КП6	14018,58	53194
КП7	30161,92	54794,78
КП8	13888,27	57734,83
КП9	11510,42	54992,33
КП10	27529,53	33894,5
КП11	11783,63	59605,12
КП12	14270,03	60867
КП13	35792,03	41043
КП14	22479,03	44344
КП15	11461,84	52645,79
КП16	27374,03	39243
КП17	34793,03	52021
КП18	30976,55	320,98
КП19	29907,7	5339,29
КП20	22604,1	9334,09
КП21	17615,23	7590,49
КП22	10248,09	7133,96
КП23	11478,97	9982,89
КП24	8955,96	8877,74
КП25	2945,6	7058,73
КП26	5404,55	9331,81
КП27	40907,03	9901,5
КП28	37252,41	7576,35
КП29	33778,46	7126,53
КП30	24404,02	7046,72
КП31	32471,1	4291,22
КП32	28652,65	15639,42
КП33	29521,15	12329,17
КП34	18850,87	10422,17
КП35	21306,64	12132,53
КП36	22586,13	14444,12
КП37	15045,33	14516,78
КП38	9146,49	11947,96
КП39	5342,55	14386,44
КП40	6559,59	11122,91
КП41	4103,57	12267,97
КП42	17565,03	15316
КП43	38479,08	11019,11
КП44	40951,08	14997,57
КП45	32264	13856,54
КП46	6577,9	14457,61
КП47	25000,71	20745,69
КП48	28473,37	19655,6
КП49	23723,87	17309,01
КП50	17626,91	21221,53
