Наименование КП	Параметр	Единица измерения	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071
КП1	добыча_нефти_массовая	тыс.т/год	0,02739262432	0,0212889428	0,01736939991	0,01454008105	0,01249308553	0,0109259754	0,009717756446	0,008691908487	0,007870020634	0,007182245079	0,006617424459	0,006097982637	0,005663751395	0,00528388208	0,004962842252	0,004651588606	0,004385919547	0,00414723323	0,003942682445	0,003736165119	0,003558030655	0,00336437491
КП1	добыча_жидкости_массовая	тыс.т/год	0,03766800317	0,02935732983	0,02395609641	0,0200311448	0,01718024974	0,01499312908	0,0133044833	0,01187173095	0,01072350148	0,009763180905	0,008974467739	0,008251151452	0,007646578774	0,007118310131	0,006671793411	0,006240599096	0,005872531137	0,00554227323	0,005259096685	0,004974585952	0,004729064648	0,004504808867
КП1	добыча_газа_объемная	млн.м3/год	0,02314859237	0,01950178004	0,01681174137	0,01469094704	0,01307218521	0,01174681159	0,01065504287	0,009693948974	0,008910686079	0,008242577302	0,007687575514	0,007163422581	0,006721074568	0,006310952687	0,005946218857	0,00558945988	0,0052845611	0,005009768332	0,004774183097	0,004534483333	0,004327671796	0,004100537993
КП1	закачка_воды_объемная	тыс.м3/год	0,03766800317	0,02935732983	0,02395609641	0,0200311448	0,01718024974	0,01499312908	0,0133044833	0,01187173095	0,01072350148	0,009763180905	0,008974467739	0,008251151452	0,007646578774	0,007118310131	0,006671793411	0,006240599096	0,005872531137	0,00554227323	0,005259096685	0,004974585952	0,004729064648	0,004504808867
КП2	добыча_нефти_массовая	тыс.т/год	0,02843279135	0,02532291873	0,0228591417	0,02070023145	0,01893928446	0,01743908595	0,01619216186	0,01502239474	0,01403602745	0,01316411145	0,01242288507	0,01169350584	0,01106819714	0,01050255668	0,01001647359	0,009494491681	0,008788655245	0,007862310432	0,006993221256	0,006184712438	0,005485347857	0,00446538125
КП2	добыча_жидкости_массовая	тыс.т/год	0,03898342887	0,03463850521	0,03119391273	0,02818040361	0,02572236097	0,02363010048	0,02189100617	0,02026481553	0,01889373476	0,01768324386	0,0166539347	0,01564541246	0,01478062596	0,01399937313	0,01332753432	0,01264443038	0,01205359572	0,01151132663	0,01104269896	0,01055093054	0,01012392314	0,008946031629
КП2	добыча_газа_объемная	млн.м3/год	0,03079091075	0,02794369301	0,02563954242	0,02355782679	0,02183659994	0,02034575446	0,01909523937	0,01787185001	0,01678379678	0,01579018883	0,01494324673	0,01410335349	0,01338265309	0,01272883005	0,0121669469	0,01155745214	0,01071933785	0,00960682056	0,008558700137	0,007580052247	0,006731429361	0,005486046692
КП2	закачка_воды_объемная	тыс.м3/год	0,03898342887	0,03463850521	0,03119391273	0,02818040361	0,02572236097	0,02363010048	0,02189100617	0,02026481553	0,01889373476	0,01768324386	0,0166539347	0,01564541246	0,01478062596	0,01399937313	0,01332753432	0,01264443038	0,01205359572	0,01151132663	0,01104269896	0,01055093054	0,01012392314	0,008946031629
КП3	добыча_нефти_массовая	тыс.т/год	0,02299968366	0,02127860124	0,01983912523	0,018473301	0,01731639161	0,01628782207	0,01541076475	0,01454020009	0,01379214101	0,01311286735	0,01250990559	0,01162256498	0,01043216599	0,009252501217	0,008229742229	0,007278275242	0,006455251056	0,005725294086	0,004594796391	0,0032084338	0,001711241509	0,0005308063993
КП3	добыча_жидкости_массовая	тыс.т/год	0,03117550265	0,02877723461	0,02677128516	0,02487461539	0,02326816264	0,02184172445	0,02062500121	0,01942268652	0,01838927897	0,01745210867	0,01664500249	0,01581853786	0,01510288346	0,01444424928	0,01387477915	0,01327345867	0,01275111416	0,01226513745	0,01059701108	0,007934220124	0,004592044579	0,001513314061
